,Station_id, Avg June Temp,Date
224,USC00513117,80.0,2017-06-19
225,USC00513117,78.0,2017-06-20
226,USC00513117,79.0,2017-06-21
227,USC00513117,80.0,2017-06-22
228,USC00513117,78.0,2017-06-23
229,USC00513117,80.0,2017-06-24
230,USC00513117,80.0,2017-06-25
231,USC00513117,81.0,2017-06-26
232,USC00513117,80.0,2017-06-27
233,USC00513117,79.0,2017-06-28
234,USC00513117,79.0,2017-06-29
235,USC00513117,75.0,2017-06-30
236,USC00513117,74.0,2010-06-01
237,USC00513117,76.0,2010-06-02
238,USC00513117,75.0,2010-06-03
239,USC00513117,75.0,2010-06-04
240,USC00513117,74.0,2010-06-05
241,USC00513117,75.0,2010-06-06
242,USC00513117,75.0,2010-06-07
243,USC00513117,75.0,2010-06-08
244,USC00513117,75.0,2010-06-09
245,USC00513117,75.0,2010-06-10
246,USC00513117,83.0,2010-06-11
247,USC00513117,75.0,2010-06-12
248,USC00513117,76.0,2010-06-13
249,USC00513117,73.0,2010-06-14
250,USC00513117,74.0,2010-06-15
251,USC00513117,74.0,2010-06-16
252,USC00513117,75.0,2010-06-17
253,USC00513117,70.0,2010-06-18
254,USC00513117,74.0,2010-06-19
255,USC00513117,75.0,2010-06-20
256,USC00513117,75.0,2010-06-21
257,USC00513117,75.0,2010-06-22
258,USC00513117,75.0,2010-06-23
259,USC00513117,75.0,2010-06-24
260,USC00513117,74.0,2010-06-25
261,USC00513117,72.0,2010-06-26
262,USC00513117,76.0,2010-06-27
263,USC00513117,73.0,2010-06-28
264,USC00513117,75.0,2010-06-29
265,USC00513117,76.0,2010-06-30
266,USC00513117,74.0,2011-06-01
267,USC00513117,75.0,2011-06-02
268,USC00513117,71.0,2011-06-03
269,USC00513117,69.0,2011-06-04
270,USC00513117,69.0,2011-06-05
271,USC00513117,74.0,2011-06-06
272,USC00513117,71.0,2011-06-07
273,USC00513117,74.0,2011-06-08
274,USC00513117,74.0,2011-06-09
275,USC00513117,75.0,2011-06-10
276,USC00513117,73.0,2011-06-11
277,USC00513117,73.0,2011-06-12
278,USC00513117,73.0,2011-06-13
279,USC00513117,75.0,2011-06-14
280,USC00513117,75.0,2011-06-15
281,USC00513117,74.0,2011-06-16
282,USC00513117,74.0,2011-06-17
283,USC00513117,75.0,2011-06-18
284,USC00513117,74.0,2011-06-19
285,USC00513117,73.0,2011-06-20
286,USC00513117,72.0,2011-06-21
287,USC00513117,74.0,2011-06-22
288,USC00513117,72.0,2011-06-23
289,USC00513117,75.0,2011-06-24
290,USC00513117,76.0,2011-06-25
291,USC00513117,74.0,2011-06-26
292,USC00513117,74.0,2011-06-27
293,USC00513117,74.0,2011-06-28
294,USC00513117,74.0,2011-06-29
295,USC00513117,74.0,2011-06-30
296,USC00513117,71.0,2012-06-01
297,USC00513117,71.0,2012-06-02
298,USC00513117,75.0,2012-06-03
299,USC00513117,72.0,2012-06-04
300,USC00513117,72.0,2012-06-05
301,USC00513117,73.0,2012-06-06
302,USC00513117,73.0,2012-06-07
303,USC00513117,73.0,2012-06-08
304,USC00513117,74.0,2012-06-09
305,USC00513117,73.0,2012-06-10
306,USC00513117,72.0,2012-06-11
307,USC00513117,72.0,2012-06-12
308,USC00513117,70.0,2012-06-13
309,USC00513117,72.0,2012-06-14
310,USC00513117,72.0,2012-06-15
311,USC00513117,72.0,2012-06-16
312,USC00513117,74.0,2012-06-17
313,USC00513117,73.0,2012-06-18
314,USC00513117,73.0,2012-06-19
315,USC00513117,70.0,2012-06-20
316,USC00513117,73.0,2012-06-21
317,USC00513117,72.0,2012-06-22
318,USC00513117,73.0,2012-06-23
319,USC00513117,69.0,2012-06-24
320,USC00513117,72.0,2012-06-25
321,USC00513117,71.0,2012-06-26
322,USC00513117,71.0,2012-06-27
323,USC00513117,73.0,2012-06-28
324,USC00513117,73.0,2012-06-29
325,USC00513117,72.0,2012-06-30
326,USC00513117,75.0,2013-06-01
327,USC00513117,75.0,2013-06-02
328,USC00513117,75.0,2013-06-03
329,USC00513117,75.0,2013-06-04
330,USC00513117,74.0,2013-06-05
331,USC00513117,74.0,2013-06-06
332,USC00513117,74.0,2013-06-07
333,USC00513117,75.0,2013-06-08
334,USC00513117,75.0,2013-06-09
335,USC00513117,74.0,2013-06-10
336,USC00513117,75.0,2013-06-11
337,USC00513117,75.0,2013-06-12
338,USC00513117,74.0,2013-06-13
339,USC00513117,72.0,2013-06-14
